"","neighbourhood_group","neighbourhood","mean","count"
"126","Manhattan","Upper West Side",3.23012259194396,2855
"127","Manhattan","Washington Heights",3.28540145985401,1370
"128","Manhattan","West Village",3.24866785079929,1126
"129","Queens","Arverne",3.22335025380711,197
"130","Queens","Astoria",3.24930362116992,1436
"131","Queens","Bay Terrace",3.66666666666667,6
"132","Queens","Bayside",3.22857142857143,105
"133","Queens","Bayswater",3.3448275862069,29
"134","Queens","Belle Harbor",3.13636363636364,22
"135","Queens","Bellerose",3.35294117647059,17
"136","Queens","Breezy Point",2.85714285714286,7
"137","Queens","Briarwood",3.78571428571429,84
"138","Queens","Cambria Heights",3.37254901960784,51
"139","Queens","College Point",3.41463414634146,41
"140","Queens","Corona",3.19191919191919,99
"141","Queens","Ditmars Steinway",3.38433515482696,549
"142","Queens","Douglaston",3,21
"143","Queens","East Elmhurst",3.3373786407767,412
"144","Queens","Edgemere",3.08,25
"145","Queens","Elmhurst",3.30878859857482,421
"146","Queens","Far Rockaway",3.6,60
"147","Queens","Flushing",3.33042394014963,802
"148","Queens","Forest Hills",3.43404255319149,235
"149","Queens","Fresh Meadows",2.98850574712644,87
"150","Queens","Glen Oaks",4.5,2
"151","Queens","Glendale",2.95454545454545,110
"152","Queens","Hollis",3.58064516129032,31
"153","Queens","Holliswood",3.66666666666667,6
"154","Queens","Howard Beach",3.41025641025641,39
"155","Queens","Jackson Heights",3.35789473684211,380
"156","Queens","Jamaica",3.39457202505219,479
"157","Queens","Jamaica Estates",3.55555555555556,36
"158","Queens","Jamaica Hills",2.7,20
"159","Queens","Kew Gardens",3.35294117647059,51
"160","Queens","Kew Gardens Hills",3.28070175438596,57
"161","Queens","Laurelton",3.25,52
"162","Queens","Little Neck",4.5,4
"163","Queens","Long Island City",3.25847953216374,855
"164","Queens","Maspeth",3.31527093596059,203
"165","Queens","Middle Village",3.1551724137931,58
"166","Queens","Neponsit",3.5,6
"167","Queens","Ozone Park",3.52136752136752,117
"168","Queens","Queens Village",3.23478260869565,115
"169","Queens","Rego Park",3.35714285714286,182
"170","Queens","Richmond Hill",3.42777777777778,180
"171","Queens","Ridgewood",3.37841945288754,658
"172","Queens","Rockaway Beach",3.2760736196319,163
"173","Queens","Rosedale",3.54362416107383,149
"174","Queens","South Ozone Park",3.36,100
"175","Queens","Springfield Gardens",3.33495145631068,206
"176","Queens","St. Albans",3.46629213483146,178
"177","Queens","Sunnyside",3.38720538720539,594
"178","Queens","Whitestone",3.36842105263158,19
"179","Queens","Woodhaven",3.35135135135135,148
"180","Queens","Woodside",3.40130151843818,461
"181","Staten Island","Arden Heights",3.77777777777778,9
"182","Staten Island","Arrochar",3.46808510638298,47
"183","Staten Island","Bay Terrace, Staten Island",3.5,4
"184","Staten Island","Bull's Head",4.5,6
"185","Staten Island","Castleton Corners",3.2,10
"186","Staten Island","Chelsea, Staten Island",2,1
"187","Staten Island","Clifton",3.82142857142857,28
"188","Staten Island","Concord",3.21818181818182,55
"189","Staten Island","Dongan Hills",3.15384615384615,13
"190","Staten Island","Eltingville",3.83333333333333,6
"191","Staten Island","Emerson Hill",2.66666666666667,6
"192","Staten Island","Graniteville",2.71428571428571,7
"193","Staten Island","Grant City",3.26315789473684,19
"194","Staten Island","Great Kills",3,23
"195","Staten Island","Grymes Hill",3.64705882352941,17
"196","Staten Island","Howland Hook",1.66666666666667,6
"197","Staten Island","Huguenot",4.11111111111111,9
"198","Staten Island","Lighthouse Hill",2.66666666666667,3
"199","Staten Island","Mariners Harbor",3.1,20
"200","Staten Island","Midland Beach",3.42857142857143,14
"201","Staten Island","New Brighton",3.21428571428571,14
"202","Staten Island","New Dorp",4,1
"203","Staten Island","New Dorp Beach",3.83333333333333,6
"204","Staten Island","New Springville",3.38461538461538,13
"205","Staten Island","Oakwood",3.85714285714286,14
"206","Staten Island","Port Richmond",3.86666666666667,15
"207","Staten Island","Prince's Bay",3.4,5
"208","Staten Island","Randall Manor",4.05405405405405,37
"209","Staten Island","Richmondtown",2.75,4
"210","Staten Island","Rosebank",3.92857142857143,14
"211","Staten Island","Rossville",3,3
"212","Staten Island","Shore Acres",3.83333333333333,12
"213","Staten Island","Silver Lake",4.125,8
"214","Staten Island","South Beach",3.53846153846154,13
"215","Staten Island","St. George",3.31683168316832,101
"216","Staten Island","Stapleton",3.66037735849057,53
"217","Staten Island","Todt Hill",4,7
"218","Staten Island","Tompkinsville",3.34408602150538,93
"219","Staten Island","Tottenville",2.6,10
"220","Staten Island","West Brighton",2.98076923076923,52
"221","Staten Island","Westerleigh",4,4
"222","Staten Island","Willowbrook",2,3
"223","Staten Island","Woodrow",2,1
