"","neighbourhood_group","neighbourhood","turnover_mean","review_mean","count"
"99","Manhattan","Chinatown",153364.275862069,3.19490254872564,667
"100","Manhattan","Civic Center",202098.630769231,3.36923076923077,65
"101","Manhattan","East Harlem",156219.420995671,3.30411255411255,1848
"102","Manhattan","East Village",166803.478372434,3.27346041055718,2728
"103","Manhattan","Financial District",111884.260223048,3.45074349442379,1076
"104","Manhattan","Flatiron District",131123.734513274,3.32743362831858,113
"105","Manhattan","Gramercy",151646.581005587,3.27374301675978,537
"106","Manhattan","Greenwich Village",174025.12345679,3.23456790123457,567
"107","Manhattan","Harlem",152295.453663046,3.24335567367691,4327
"108","Manhattan","Hell's Kitchen",135401.08378933,3.28317373461012,2924
"109","Manhattan","Inwood",161993.229166667,3.20138888888889,432
"110","Manhattan","Kips Bay",139036.077272727,3.37878787878788,660
"111","Manhattan","Little Italy",138479.135135135,3.24774774774775,222
"112","Manhattan","Lower East Side",151616.855445545,3.33003300330033,1515
"113","Manhattan","Marble Hill",110861.75,3.75,16
"114","Manhattan","Midtown",127733.457711443,3.30393487109905,2211
"115","Manhattan","Morningside Heights",186544.377272727,3.21136363636364,440
"116","Manhattan","Murray Hill",118151.070934256,3.32698961937716,578
"117","Manhattan","NoHo",183115.412844037,3.27522935779817,109
"118","Manhattan","Nolita",167499.691747573,3.20388349514563,412
"119","Manhattan","Roosevelt Island",152131.865079365,3.34920634920635,126
"120","Manhattan","SoHo",161305.962121212,3.3125,528
"121","Manhattan","Stuyvesant Town",193632.459016393,3.32786885245902,61
"122","Manhattan","Theater District",122015.129411765,3.4,340
"123","Manhattan","Tribeca",150027.165919283,3.26905829596413,223
"124","Manhattan","Two Bridges",167033.24,3.37,100
"125","Manhattan","Upper East Side",145726.375314861,3.25728679381072,2779
"126","Manhattan","Upper West Side",151945.16497373,3.23012259194396,2855
"127","Manhattan","Washington Heights",146050.435766423,3.28540145985401,1370
"128","Manhattan","West Village",166061.727353464,3.24866785079929,1126
"129","Queens","Arverne",114984.076142132,3.22335025380711,197
"130","Queens","Astoria",145740.280640669,3.24930362116992,1436
"131","Queens","Bay Terrace",105084.166666667,3.66666666666667,6
"132","Queens","Bayside",109778.485714286,3.22857142857143,105
"133","Queens","Bayswater",116976.448275862,3.3448275862069,29
"134","Queens","Belle Harbor",87670.1363636364,3.13636363636364,22
"135","Queens","Bellerose",94519.4117647059,3.35294117647059,17
"136","Queens","Breezy Point",26070.4285714286,2.85714285714286,7
"137","Queens","Briarwood",144772.011904762,3.78571428571429,84
"138","Queens","Cambria Heights",168727.647058824,3.37254901960784,51
"139","Queens","College Point",180221.658536585,3.41463414634146,41
"140","Queens","Corona",120525.343434343,3.19191919191919,99
"141","Queens","Ditmars Steinway",140961.601092896,3.38433515482696,549
"142","Queens","Douglaston",87358,3,21
"143","Queens","East Elmhurst",129706.890776699,3.3373786407767,412
"144","Queens","Edgemere",47405,3.08,25
"145","Queens","Elmhurst",149996.334916865,3.30878859857482,421
"146","Queens","Far Rockaway",131437.866666667,3.6,60
"147","Queens","Flushing",128878.774314214,3.33042394014963,802
"148","Queens","Forest Hills",126578.936170213,3.43404255319149,235
"149","Queens","Fresh Meadows",128357.32183908,2.98850574712644,87
"150","Queens","Glen Oaks",1231.5,4.5,2
"151","Queens","Glendale",130443.154545455,2.95454545454545,110
"152","Queens","Hollis",108522.967741935,3.58064516129032,31
"153","Queens","Holliswood",98476.8333333333,3.66666666666667,6
"154","Queens","Howard Beach",99425.4102564103,3.41025641025641,39
"155","Queens","Jackson Heights",146756.681578947,3.35789473684211,380
"156","Queens","Jamaica",114836.78914405,3.39457202505219,479
"157","Queens","Jamaica Estates",114236.694444444,3.55555555555556,36
"158","Queens","Jamaica Hills",181191.6,2.7,20
"159","Queens","Kew Gardens",112882.901960784,3.35294117647059,51
"160","Queens","Kew Gardens Hills",141241.543859649,3.28070175438596,57
"161","Queens","Laurelton",97476.8461538462,3.25,52
"162","Queens","Little Neck",271390.5,4.5,4
"163","Queens","Long Island City",148509.923976608,3.25847953216374,855
"164","Queens","Maspeth",108559.428571429,3.31527093596059,203
"165","Queens","Middle Village",86954.1724137931,3.1551724137931,58
"166","Queens","Neponsit",110441.5,3.5,6
"167","Queens","Ozone Park",128500.683760684,3.52136752136752,117
"168","Queens","Queens Village",112088.617391304,3.23478260869565,115
"169","Queens","Rego Park",129487.730769231,3.35714285714286,182
"170","Queens","Richmond Hill",97413.4944444444,3.42777777777778,180
"171","Queens","Ridgewood",159996.460486322,3.37841945288754,658
"172","Queens","Rockaway Beach",109736.779141104,3.2760736196319,163
"173","Queens","Rosedale",100339.932885906,3.54362416107383,149
"174","Queens","South Ozone Park",116654.43,3.36,100
"175","Queens","Springfield Gardens",100516.058252427,3.33495145631068,206
"176","Queens","St. Albans",90020.0617977528,3.46629213483146,178
"177","Queens","Sunnyside",144334.717171717,3.38720538720539,594
"178","Queens","Whitestone",116455.684210526,3.36842105263158,19
"179","Queens","Woodhaven",102704.175675676,3.35135135135135,148
"180","Queens","Woodside",150384.828633406,3.40130151843818,461
"181","Staten Island","Arden Heights",164514.777777778,3.77777777777778,9
"182","Staten Island","Arrochar",91990.8723404255,3.46808510638298,47
"183","Staten Island","Bay Terrace, Staten Island",156767.5,3.5,4
"184","Staten Island","Bull's Head",149584.666666667,4.5,6
"185","Staten Island","Castleton Corners",98274.7,3.2,10
"186","Staten Island","Chelsea, Staten Island",209442,2,1
"187","Staten Island","Clifton",99476.3928571429,3.82142857142857,28
"188","Staten Island","Concord",50279.7272727273,3.21818181818182,55
"189","Staten Island","Dongan Hills",111536.846153846,3.15384615384615,13
"190","Staten Island","Eltingville",61104,3.83333333333333,6
"191","Staten Island","Emerson Hill",147499,2.66666666666667,6
"192","Staten Island","Graniteville",135621.571428571,2.71428571428571,7
"193","Staten Island","Grant City",94942.6842105263,3.26315789473684,19
"194","Staten Island","Great Kills",165148.391304348,3,23
"195","Staten Island","Grymes Hill",156025.705882353,3.64705882352941,17
"196","Staten Island","Howland Hook",62889.3333333333,1.66666666666667,6
"197","Staten Island","Huguenot",130354.222222222,4.11111111111111,9
